"listingValue","product_name","product_url","product_features_name","product_features_Values_name","remove"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Memory","8GB
8GB unified memory
Configurable to: 16GB","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Storage2","256GB SSD
Configurable to 512GB SSD, 1TB, or 2TB SSD","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Charging and Expansion","","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Keyboard and Trackpad","Backlit Magic Keyboard with:
65 (U.S.) or 66 (ISO) keys including 4 arrow keys in an inverted‑T arrangement
Touch Bar
Touch ID sensor
Ambient light sensor
Force Touch trackpad for precise cursor control and pressure‑sensing capabilities; enables Force clicks, accelerators, pressure‑sensitive drawing, and Multi‑Touch gestures","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Wireless","Wi-Fi
802.11ax Wi-Fi 6 wireless networking
IEEE 802.11a/b/g/n/ac compatible","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Wireless","Bluetooth
Bluetooth 5.0 wireless technology","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Camera","720p FaceTime HD camera","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Video Support","","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Audio","Stereo speakers with high dynamic range","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Audio","Wide stereo sound","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Audio","Support for Dolby Atmos playback","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Audio","Studio-quality three-mic array with directional beamforming","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Audio","3.5 mm headphone jack","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Line voltage: 100V to 240V AC","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Frequency: 50Hz to 60Hz","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Operating temperature: 50° to 95° F (10° to 35° C)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Storage temperature: -13° to 113° F (-25° to 45° C)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Relative humidity: 0% to 90% noncondensing","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Operating altitude: tested up to 10,000 feet","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Maximum storage altitude: 15,000 feet","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating Requirements","Maximum shipping altitude: 35,000 feet","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Size and Weight","Height: 0.61 inch (1.56 cm)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Size and Weight","Width: 11.97 inches (30.41 cm)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Size and Weight","Depth: 8.36 inches (21.24 cm)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Size and Weight","Weight: 3.0 pounds (1.4 kg)3","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Operating System","","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Accessibility","","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Photos","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","iMovie","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","GarageBand","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Pages","1"
